 11/04/2014 00:00:00,163
 12/04/2014 00:00:00,123
 13/04/2014 00:00:00,103
 14/04/2014 00:00:00,72
 15/04/2014 00:00:00,128
 16/04/2014 00:00:00,110
 17/04/2014 00:00:00,105
 18/04/2014 00:00:00,95
 19/04/2014 00:00:00,75
 20/04/2014 00:00:00,62
 21/04/2014 00:00:00,63
 22/04/2014 00:00:00,65
 23/04/2014 00:00:00,105
 24/04/2014 00:00:00,115
 25/04/2014 00:00:00,115
 26/04/2014 00:00:00,108
 27/04/2014 00:00:00,78
 28/04/2014 00:00:00,70
 29/04/2014 00:00:00,219
 30/04/2014 00:00:00,200
 01/05/2014 00:00:00,204
 02/05/2014 00:00:00,192
 03/05/2014 00:00:00,142
 04/05/2014 00:00:00,82
 05/05/2014 00:00:00,65
 06/05/2014 00:00:00,64
 07/05/2014 00:00:00,158
 08/05/2014 00:00:00,189
 09/05/2014 00:00:00,180
 10/05/2014 00:00:00,185
 11/05/2014 00:00:00,193
 12/05/2014 00:00:00,87
 13/05/2014 00:00:00,205
 14/05/2014 00:00:00,184
 15/05/2014 00:00:00,154
 16/05/2014 00:00:00,192
 17/05/2014 00:00:00,106
 18/05/2014 00:00:00,73
 19/05/2014 00:00:00,68
 20/05/2014 00:00:00,134
 21/05/2014 00:00:00,111
 22/05/2014 00:00:00,116
 23/05/2014 00:00:00,112
 24/05/2014 00:00:00,95
 25/05/2014 00:00:00,71
 26/05/2014 00:00:00,87
 27/05/2014 00:00:00,163
 28/05/2014 00:00:00,148
 29/05/2014 00:00:00,110
 30/05/2014 00:00:00,92
 31/05/2014 00:00:00,97
 01/06/2014 00:00:00,69
 02/06/2014 00:00:00,72
 03/06/2014 00:00:00,75
 04/06/2014 00:00:00,104
 05/06/2014 00:00:00,125
 06/06/2014 00:00:00,115
 07/06/2014 00:00:00,126
 08/06/2014 00:00:00,99
 09/06/2014 00:00:00,99
 10/06/2014 00:00:00,139
 11/06/2014 00:00:00,109
 12/06/2014 00:00:00,101
 13/06/2014 00:00:00,113
 14/06/2014 00:00:00,147
 15/06/2014 00:00:00,94
